CardName,CardEffect,CardType,CardRace,Mana,Civilization,Power,Set,SetNum,ImageURL
"Urth, Purifying Elemental","■ Double Breaker
■ End Step",Creature,Angel Command,6,Light,6000,DM-01,S2,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-S2
Aqua Hulcus,"■ When you put this creature into the battle zone, you may draw a card.",Creature,Liquid People,3,Water,2000,DM-01,80,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-80
Aqua Knight,"■ When this creature would be destroyed, return it to your hand instead.",Creature,Liquid People,5,Water,4000,DM-01,17,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-17
Aqua Soldier,"■ When this creature would be destroyed, return it to your hand instead.",Creature,Liquid People,3,Water,1000,DM-01,50,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-50
Aqua Vehicle,,Creature,Liquid People,2,Water,1000,DM-01,83,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-83
Candy Drop,■ This creature can't be blocked.,Creature,Cyber Virus,3,Water,1000,DM-01,81,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-81
Faerie Child,■ This creature can't be blocked.,Creature,Cyber Virus,4,Water,2000,DM-01,49,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-49
King Coral,■ Blocker,Creature,Leviathan,3,Water,1000,DM-01,51,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-51
King Ripped-Hide,"■ When you put this creature into the battle zone, draw up to 2 cards.",Creature,Leviathan,7,Water,5000,DM-01,3,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-3
Phantom Fish,"■ Blocker
■ This creature can't attack.",Creature,Gel Fish,3,Water,4000,DM-01,79,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-79
Crystal Memory,"■ Shield Trigger
■ Search your deck. You may take a card from your deck and put it into your hand. Then shuffle your deck.",Spell,,4,Water,,DM-01,22,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-22
Saucer-Head Shark,"■ When you put this creature into the battle zone, return all creatures in the battle zone that have power 2000 or less to its owner's hand.",Creature,Gel Fish,5,Water,3000,DM-01,18,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-18
Spiral Gate,"■ Shield Trigger
■ Choose a creature in the battle zone and return it to its owner's hand.",Spell,,2,Water,,DM-01,86,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-86
Teleportation,■ Choose up to 2 creatures in the battle zone and return them to their owners' hands.,Spell,,5,Water,,DM-01,21,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-21
Unicorn Fish,"■ When you put this creature into the battle zone, you may choose 1 creature in the battle zone and return it to its owner's hand.",Creature,Fish,4,Water,1000,DM-01,20,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-20
"Black Feather, Shadow of Rage","■ When you put this creature into the battle zone, destroy one of your creatures.",Creature,Ghost,1,Darkness,3000,DM-01,92,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-92
Bloody Squito,"■ Blocker
■ This creature can't attack.
■ When this creature wins a battle, destroy it.",Creature,Brain Jacker,2,Darkness,4000,DM-01,89,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-89
"Bone Assassin, the Ripper",■ Slayer,Creature,Living Dead,4,Darkness,2000,DM-01,88,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-88
Bone Spider,"■ When this creature wins a battle, destroy it.",Creature,Living Dead,3,Darkness,5000,DM-01,56,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-56
Dark Clown,"■ Blocker
■ This creature can't attack.
■ When this creature wins a battle, destroy it.",Creature,Brain Jacker,4,Darkness,6000,DM-01,26,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-26
Dark Reversal,"■ Shield Trigger
■ Return a creature from your graveyard to your hand.",Spell,,2,Darkness,,DM-01,58,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-58
Death Smoke,■ Destroy one of your opponent's untapped creatures.,Spell,,4,Darkness,,DM-01,93,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-93
Ghost Touch,"■ Shield Trigger
■ Your opponent discards a card at random from his hand.",Spell,,2,Darkness,,DM-01,94,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-94
Gigaberos,"■ When you put this creature into the battle zone, destroy 2 of your creatures or destroy this creature.
■ Double Breaker",Creature,Chimera,5,Darkness,8000,DM-01,24,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-24
Gigargon,"■ When you put this creature into the battle zone, return up to 2 creatures from your graveyard to your hand.",Creature,Chimera,8,Darkness,3000,DM-01,6,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-6
"Skeleton Soldier, the Defiled",,Creature,Living Dead,4,Darkness,3000,DM-01,87,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-87
Stinger Worm,"■ When you put this creature into the battle zone, destroy one of your creatures.",Creature,Parasite Worm,3,Darkness,5000,DM-01,57,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-57
Swamp Worm,"■ When you put this creature into the battle zone, your opponent chooses one of his creatures and destroys it.",Creature,Parasite Worm,7,Darkness,2000,DM-01,53,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-53
Terror Pit,"■ Shield Trigger
■ Destroy one of your opponent's creatures.",Spell,,6,Darkness,,DM-01,27,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-27
Wandering Braineater,"■ Blocker
■ This creature can't attack.",Creature,Living Dead,2,Darkness,2000,DM-01,91,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-91
Writhing Bone Ghoul,,Creature,Living Dead,2,Darkness,2000,DM-01,90,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-90
Bolshack Dragon,"■ While attacking, this creature gets +1000 power for each fire card in your graveyard.
■ Double Breaker",Creature,Armored Dragon,6,Fire,6000+,DM-01,8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-8
Brawler Zyler,■ Power Attacker,Creature,Human,2,Fire,1000+,DM-01,98,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-98
Crimson Hammer,■ Destroy 1 of your opponent's creatures that has power 2000 or less.,Spell,,2,Fire,,DM-01,101,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-101
Deadly Fighter Braid Claw,■ This creature attacks each turn Attack if Able,Creature,Dragonoid,1,Fire,1000,DM-01,100,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-100
Draglide,■ This creature attacks each turn Attack if Able,Creature,Armored Wyvern,5,Fire,5000,DM-01,30,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-30
Explosive Fighter Ucarn,"■ When you put this creature into the battle zone, put 2 cards from your mana zone into your graveyard.
■ Double Breaker",Creature,Dragonoid,5,Fire,9000,DM-01,29,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-29
Fatal Attacker Horvath,"■ While you have at least 1 Armorloid in the battle zone, this creature gets +2000 power during its attacks.",Creature,Human,3,Fire,2000+,DM-01,96,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-96
Fire Sweeper Burning Hellion,■ Power Attacker,Creature,Dragonoid,4,Fire,3000+,DM-01,95,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-95
Gatling Skyterror,"■ This creature can attack untapped creatures.
■ Double Breaker",Creature,Armored Wyvern,7,Fire,7000,DM-01,7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-7
"Immortal Baron, Vorg",,Creature,Human,2,Fire,2000,DM-01,97,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-97
Magma Gazer,"■ One of your creatures gets ""power attacker +4000"" and ""double breaker"" until the End Step",Spell,,3,Fire,,DM-01,33,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-33
Meteosaur,"■ When you put this creature into the battle zone, destroy one of your opponent's creatures that has power 2000 or less.",Creature,Rock Beast,5,Fire,2000,DM-01,60,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-60
Nomad Hero Gigio,■ This creature can attack untapped creatures.,Creature,Machine Eater,5,Fire,3000,DM-01,31,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-31
Onslaughter Triceps,"■ When you put this creature into the battle zone, put 1 card from your mana zone into your graveyard.",Creature,Dragonoid,3,Fire,5000,DM-01,63,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-63
"Rothus, the Traveler","■ When you put this creature into the battle zone, destroy one of your creatures. Then your opponent chooses one of his creatures and destroys it.",Creature,Armorloid,4,Fire,4000,DM-01,32,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-32
Stonesaur,■ Power Attacker,Creature,Rock Beast,5,Fire,4000+,DM-01,59,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-59
Super Explosive Volcanodon,■ Power Attacker,Creature,Dragonoid,4,Fire,2000+,DM-01,62,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-62
Tornado Flame,"■ Shield Trigger
■ Destroy one of your opponent's creatures that has power 4000 or less.",Spell,,5,Fire,,DM-01,64,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-64
Aura Blast,"■ Each of your creatures in the battle zone gets ""power attacker +2000"" until the End Step",Spell,,4,Nature,,DM-01,40,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-40
Bronze-Arm Tribe,"■ When you put this creature into the battle zone, put the top card of your deck into your mana zone.",Creature,Beast Folk,3,Nature,1000,DM-01,106,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-106
Burning Mane,,Creature,Beast Folk,2,Nature,2000,DM-01,108,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-108
Coiling Vines,"■ When this creature would be destroyed, put it into your mana zone instead.",Creature,Tree Folk,4,Nature,3000,DM-01,67,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-67
Dimension Gate,"■ Shield Trigger
■ Search your deck. You may take a creature from your deck, show that creature to your opponent, and put it into your hand. Then shuffle your deck.",Spell,,3,Nature,,DM-01,110,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-110
Dome Shell,■ Power Attacker,Creature,Colony Beetle,4,Nature,3000+,DM-01,68,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-68
Fear Fang,,Creature,Beast Folk,3,Nature,3000,DM-01,103,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-103
Forest Hornet,,Creature,Giant Insect,4,Nature,4000,DM-01,66,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-66
Mighty Shouter,"■ When this creature would be destroyed, put it into your mana zone instead.",Creature,Beast Folk,3,Nature,2000,DM-01,105,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-105
Natural Snare,"■ Shield Trigger
■ Choose one of your opponent's creatures in the battle zone and put it into his mana zone.",Spell,,6,Nature,,DM-01,39,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-39
Pangaea's Song,■ Put 1 of your creatures from the battle zone into your mana zone.,Spell,,1,Nature,,DM-01,70,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-70
Poisonous Mushroom,"■ When you put this creature into the battle zone, you may put 1 card from your hand into your mana zone.",Creature,Balloon Mushroom,2,Nature,1000,DM-01,69,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-69
Stampeding Longhorn,■ This creature can't be blocked by any creature that has power 3000 or less.,Creature,Horned Beast,5,Nature,4000,DM-01,38,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-38
Steel Smasher,■ This creature can't attack players.,Creature,Beast Folk,2,Nature,3000,DM-01,107,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-107
Tri-horn Shepherd,,Creature,Horned Beast,5,Nature,5000,DM-01,36,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-36
Ultimate Force,■ Put the top 2 cards of your deck into your mana zone.,Spell,,5,Nature,,DM-01,109,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-109
Aqua Sniper,"■ When you put this creature into the battle zone, choose up to 2 creatures in the battle zone and return them to their owners' hands.",Creature,Liquid People,8,Water,5000,DM-01,S3,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-S3
"Deathliger, Lion of Chaos",■ Double Breaker,Creature,Demon Command,7,Darkness,9000,DM-01,S5,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-S5
"Zagaan, Knight of Darkness",■ Double Breaker,Creature,Demon Command,6,Darkness,7000,DM-01,S6,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-S6
Astrocomet Dragon,"■ Power Attacker
■ Double Breaker",Creature,Armored Dragon,7,Fire,6000+,DM-01,S8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-S8
Deathblade Beetle,"■ Power Attacker
■ Double Breaker",Creature,Giant Insect,5,Nature,3000+,DM-01,S10,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-S10
Aqua Guard,"■ Blocker
■ This creature can't attack.",Creature,Liquid People,1,Water,2000,DM-01,84,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-84
Cyber Brain,"■ Shield Trigger
■ Draw up to 3 cards.",Spell,,4,Water,,DM-01,52,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-52
"Frei, Vizier of Air",■ End Step,Creature,Initiate,4,Light,3000,DM-18,54,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-54
"Gran Gure, Space Guardian","■ Blocker
■ This creature can't attack players.",Creature,Guardian,6,Light,9000,DM-18,2,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-2
"Lah, Purification Enforcer",,Creature,Berserker,5,Light,5500,DM-18,18,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-18
Laser Wing,■ Choose up to 2 of your creatures in the battle zone. They can't be blocked this turn.,Spell,,5,Light,,DM-18,21,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-21
"Lok, Vizier of Hunting",,Creature,Initiate,4,Light,4000,DM-18,53,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-53
"Miele, Vizier of Lightning","■ When you put this creature into the battle zone, you may choose one of your opponent's creatures in the battle zone and tap it.",Creature,Initiate,3,Light,1000,DM-18,94,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-94
Solar Ray,"■ Shield Trigger
■ Choose one of your opponent's creatures in the battle zone and tap it.",Spell,,2,Light,,DM-18,100,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-100
Ruby Grass,"■ Blocker
■ This creature can't attack players.
■ End Step",Creature,Starlight Tree,3,Light,3000,DM-18,55,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-55
"Toel, Vizier of Hope",■ End Step,Creature,Initiate,5,Light,2000,DM-18,52,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-52
"Szubs Kin, Twilight Guardian","■ Blocker
■ This creature can't attack players.",Creature,Guardian,5,Light,6000,DM-18,17,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-17
"Rayla, Truth Enforcer","■ When you put this creature into the battle zone, search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck.",Creature,Berserker,6,Light,3000,DM-18,3,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-3
Aqua Knight,"■ When this creature would be destroyed, return it to your hand instead.",Creature,Liquid People,5,Water,4000,DM-18,27,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-27
Aqua Soldier,"■ When this creature would be destroyed, return it to your hand instead.",Creature,Liquid People,3,Water,1000,DM-18,62,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-62
Aqua Vehicle,,Creature,Liquid People,2,Water,1000,DM-18,107,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-107
Brain Serum,"■ Shield Trigger
■ Draw up to 2 cards.",Spell,,4,Water,,DM-18,65,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-65
Candy Drop,■ This creature can't be blocked.,Creature,Cyber Virus,3,Water,1000,DM-18,105,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-105
Faerie Child,■ This creature can't be blocked.,Creature,Cyber Virus,4,Water,2000,DM-18,61,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-61
King Coral,■ Blocker,Creature,Leviathan,3,Water,1000,DM-18,63,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-63
King Ripped-Hide,"■ When you put this creature into the battle zone, draw up to 2 cards.",Creature,Leviathan,7,Water,5000,DM-18,4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-4
Phantom Fish,"■ Blocker
■ This creature can't attack.",Creature,Gel Fish,3,Water,4000,DM-18,103,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-103
Saucer-Head Shark,"■ When you put this creature into the battle zone, return all creatures in the battle zone that have power 2000 or less to its owner's hand.",Creature,Gel Fish,5,Water,3000,DM-18,28,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-28
Teleportation,■ Choose up to 2 creatures in the battle zone and return them to their owners' hands.,Spell,,5,Water,,DM-18,29,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-29
Bloody Squito,"■ Blocker
■ This creature can't attack.
■ When this creature wins a battle, destroy it.",Creature,Brain Jacker,2,Darkness,4000,DM-18,114,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-114
Bone Spider,"■ When this creature wins a battle, destroy it.",Creature,Living Dead,3,Darkness,5000,DM-18,72,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-72
Dark Clown,"■ Blocker
■ This creature can't attack.
■ When this creature wins a battle, destroy it.",Creature,Brain Jacker,4,Darkness,6000,DM-18,32,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-32
Dark Reversal,"■ Shield Trigger
■ Return a creature from your graveyard to your hand.",Spell,,2,Darkness,,DM-18,74,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-74
Death Smoke,■ Destroy one of your opponent's untapped creatures.,Spell,,4,Darkness,,DM-18,118,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-118
Ghost Touch,"■ Shield Trigger
■ Your opponent discards a card at random from his hand.",Spell,,2,Darkness,,DM-18,120,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-120
Gigargon,"■ When you put this creature into the battle zone, return up to 2 creatures from your graveyard to your hand.",Creature,Chimera,8,Darkness,3000,DM-18,7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-7
Stinger Worm,"■ When you put this creature into the battle zone, destroy one of your creatures.",Creature,Parasite Worm,3,Darkness,5000,DM-18,71,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-71
Swamp Worm,"■ When you put this creature into the battle zone, your opponent chooses one of his creatures and destroys it.",Creature,Parasite Worm,7,Darkness,2000,DM-18,68,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-68
Terror Pit,"■ Shield Trigger
■ Destroy one of your opponent's creatures.",Spell,,6,Darkness,,DM-18,35,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-35
Wandering Braineater,"■ Blocker
■ This creature can't attack.",Creature,Living Dead,2,Darkness,2000,DM-18,116,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-116
Bolshack Dragon,"■ While attacking, this creature gets +1000 power for each fire card in your graveyard.
■ Double Breaker",Creature,Armored Dragon,6,Fire,6000+,DM-18,11,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-11
Brawler Zyler,■ Power Attacker,Creature,Human,2,Fire,1000+,DM-18,125,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-125
Deadly Fighter Braid Claw,■ This creature attacks each turn Attack if Able,Creature,Dragonoid,1,Fire,1000,DM-18,128,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-128
Draglide,■ This creature attacks each turn Attack if Able,Creature,Armored Wyvern,5,Fire,5000,DM-18,40,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-40
Explosive Fighter Ucarn,"■ When you put this creature into the battle zone, put 2 cards from your mana zone into your graveyard.
■ Double Breaker",Creature,Dragonoid,5,Fire,9000,DM-18,39,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-39
Fire Sweeper Burning Hellion,■ Power Attacker,Creature,Dragonoid,4,Fire,3000+,DM-18,121,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-121
Gatling Skyterror,"■ This creature can attack untapped creatures.
■ Double Breaker",Creature,Armored Wyvern,7,Fire,7000,DM-18,10,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-10
"Immortal Baron, Vorg",,Creature,Human,2,Fire,2000,DM-18,124,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-124
Magma Gazer,"■ One of your creatures gets ""power attacker +4000"" and ""double breaker"" until the End Step",Spell,,3,Fire,,DM-18,43,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-43
Onslaughter Triceps,"■ When you put this creature into the battle zone, put 1 card from your mana zone into your graveyard.",Creature,Dragonoid,3,Fire,5000,DM-18,79,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-79
"Rothus, the Traveler","■ When you put this creature into the battle zone, destroy one of your creatures. Then your opponent chooses one of his creatures and destroys it.",Creature,Armorloid,4,Fire,4000,DM-18,41,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-41
Super Explosive Volcanodon,■ Power Attacker,Creature,Dragonoid,4,Fire,2000+,DM-18,78,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-78
Aura Blast,"■ Each of your creatures in the battle zone gets ""power attacker +2000"" until the End Step",Spell,,4,Nature,,DM-18,50,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-50
Bronze-Arm Tribe,"■ When you put this creature into the battle zone, put the top card of your deck into your mana zone.",Creature,Beast Folk,3,Nature,1000,DM-18,136,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-136
Burning Mane,,Creature,Beast Folk,2,Nature,2000,DM-18,138,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-138
Dimension Gate,"■ Shield Trigger
■ Search your deck. You may take a creature from your deck, show that creature to your opponent, and put it into your hand. Then shuffle your deck.",Spell,,3,Nature,,DM-18,140,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-140
Fear Fang,,Creature,Beast Folk,3,Nature,3000,DM-18,133,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-133
Mighty Shouter,"■ When this creature would be destroyed, put it into your mana zone instead.",Creature,Beast Folk,3,Nature,2000,DM-18,135,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-135
Natural Snare,"■ Shield Trigger
■ Choose one of your opponent's creatures in the battle zone and put it into his mana zone.",Spell,,6,Nature,,DM-18,49,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-49
Pangaea's Song,■ Put 1 of your creatures from the battle zone into your mana zone.,Spell,,1,Nature,,DM-18,90,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-90
Poisonous Mushroom,"■ When you put this creature into the battle zone, you may put 1 card from your hand into your mana zone.",Creature,Balloon Mushroom,2,Nature,1000,DM-18,88,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-88
Stampeding Longhorn,■ This creature can't be blocked by any creature that has power 3000 or less.,Creature,Horned Beast,5,Nature,4000,DM-18,46,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-46
Steel Smasher,■ This creature can't attack players.,Creature,Beast Folk,2,Nature,3000,DM-18,137,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-137
Tri-horn Shepherd,,Creature,Horned Beast,5,Nature,5000,DM-18,45,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-45
Ultimate Force,■ Put the top 2 cards of your deck into your mana zone.,Spell,,5,Nature,,DM-18,139,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-139
Aqua Sniper,"■ When you put this creature into the battle zone, choose up to 2 creatures in the battle zone and return them to their owners' hands.",Creature,Liquid People,8,Water,5000,DM-18,S4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-18-S4
